Fecha;año;mes;día;Tipo de Egreso;Nota-Observacion; Valor ;Grupo 1;Quien paga;De donde Paga;Actuals / FCST
2/06/2026;2026;6;2;Refrigerios y bienestar comercial;Juan-pandebono; $6.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
1/06/2026;2026;6;1;Domicilios mandados taller;3 domicilios entre taller y almacen; $15.000 ;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
15/01/2026;2026;1;15;Operarias;nomina-quincena; $5.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
2/06/2026;2026;6;2;GASTOS CASA/PERSONALES;Juan; $2.305.000 ;GASTOS CASA/PERSONALES;Juan;BBVA;ACT
2/06/2026;2026;6;2;Domicilios entrega almacen;TALLER ALMACEN ; $5.000 ;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
2/06/2026;2026;6;2;Tela;ALMACEN SI    PANTANTALON COLSAFA HOMBRE; $2.411.910 ;COSTOS DIRECTOS;Clelia;TRANSFERENCIA;ACT
2/06/2026;2026;6;2;Nómina Yaneth;DEL 15 AL 31 DE MAYO /26; $1.000.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
3/06/2026;2026;6;3;Domicilios mandados taller;MERCANCIA ; $5.000 ;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
3/06/2026;2026;6;3;Domicilios entrega almacen;URBANIZACION LA VICTORIA CONALCO ; $6.000 ;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
4/06/2026;2026;6;4;Domicilios mandados taller;MERCANCIA ; $5.000 ;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
4/06/2026;2026;6;4;Bolsas individuales;clelia bolsas camistas conalco; $16.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
5/06/2026;2026;6;5;Tela;INTERLON BORDAR; $28.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
5/06/2026;2026;6;5;GASTOS CASA/PERSONALES;JUAN DESAYUNO SOPAS QUESO ; $27.000 ;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
6/06/2026;2026;6;6;GASTOS CASA/PERSONALES;Pandebono; $6.000 ;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
9/06/2026;2026;6;9;GASTOS CASA/PERSONALES;juan; $20.000 ;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
9/06/2026;2026;6;9;Arriendo almacen;INMOVILIIARIA ENCASA - ARRIENDO MES DE JUNIO/26; $900.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
9/06/2026;2026;6;9;Salud Betty;MES DE JUNIO/26; $670.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
10/06/2026;2026;6;10;Domicilios entrega almacen;MERCANCIA ; $5.000 ;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
16/06/2026;2026;6;16;GASTOS CASA/PERSONALES;Queso; $36.000 ;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
16/06/2026;2026;6;16;Refrigerios y bienestar comercial;Pandebono; $6.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
19/06/2026;2026;6;19;Tela;Hilo; $28.200 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
19/06/2026;2026;6;19;Tela;Telas medellin ; $25.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
19/06/2026;2026;6;19;Tela;Texticorp Bogota; $1.890.000 ;COSTOS DIRECTOS;Juan;Bancolombia;ACT
19/06/2026;2026;6;19;Bolsas individuales;Variedades plastigama SAS; $46.200 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
